Date,Open,High,Low,Close,Adj Close,Volume
2006-01-01,61.070000,63.099998,57.450001,57.540001,34.251858,220695200
2006-02-01,57.669998,59.709999,56.700001,57.650002,34.317368,183341700
2006-03-01,57.619999,61.099998,57.450001,59.220001,35.451591,181202600
2006-04-01,59.490002,59.759998,57.320000,58.610001,35.086422,171133300
2006-05-01,58.709999,60.930000,58.189999,60.220001,36.050236,196603700
2006-06-01,60.250000,62.000000,58.970001,59.919998,36.093296,199396300
2006-07-01,60.130001,63.000000,59.680000,62.549999,37.677509,134968800
2006-08-01,62.380001,65.129997,62.290001,64.660004,38.948479,150477100
2006-09-01,64.870003,65.040001,63.250000,64.940002,39.344109,128522300
2006-10-01,65.000000,69.410004,64.500000,67.400002,40.834522,189511300
2006-11-01,67.379997,69.029999,65.220001,65.910004,39.931808,196072100
2006-12-01,65.910004,67.250000,65.290001,66.019997,40.224339,157532600
2007-01-01,66.129997,68.220001,65.900002,66.800003,40.699589,175594400
2007-02-01,66.800003,67.150002,62.720001,62.930000,38.341694,192375400
2007-03-01,62.349998,62.930000,59.869999,60.259998,36.928703,318147400
2007-04-01,60.259998,65.449997,60.029999,64.220001,39.355484,248968100
2007-05-01,64.529999,64.940002,61.650002,63.270000,38.773304,280281700
2007-06-01,63.349998,63.770000,60.730000,61.619999,38.009331,259962000
2007-07-01,61.939999,63.880001,59.720001,60.500000,37.318497,290358700
2007-08-01,60.509998,62.980000,60.310001,61.790001,38.114201,331077300
2007-09-01,61.630001,65.750000,61.259998,65.699997,40.798637,220556400
2007-10-01,65.660004,66.800003,63.549999,65.169998,40.469494,232885800
2007-11-01,64.800003,68.750000,63.730000,67.739998,42.065441,284874000
2007-12-01,67.620003,68.500000,66.550003,66.699997,41.677223,197170400
2008-01-01,66.559998,68.849998,61.720001,63.139999,39.452774,339978400
2008-02-01,63.349998,64.070000,61.360001,61.959999,38.715454,218925600
2008-03-01,62.000000,65.809998,61.169998,64.870003,40.802624,274621800
2008-04-01,65.129997,67.739998,64.510002,67.089996,42.198986,221952400
2008-05-01,67.129997,68.320000,64.540001,66.739998,41.978825,219962000
2008-06-01,66.550003,67.099998,63.099998,64.339996,40.754456,228287700
2008-07-01,63.750000,69.250000,63.740002,68.470001,43.370529,308621600
2008-08-01,68.500000,71.900002,67.930000,70.430000,44.611992,224063800
2008-09-01,71.089996,72.760002,66.900002,69.279999,44.168625,367504200
2008-10-01,69.070000,69.070000,52.060001,61.340000,39.106571,640425500
2008-11-01,61.490002,63.009998,54.490002,58.580002,37.346970,375653400
2008-12-01,57.660000,60.250000,54.950001,59.830002,38.460884,315194900
2009-01-01,60.130001,61.000000,55.090000,57.689999,37.085232,349391400
2009-02-01,57.250000,59.130001,49.939999,50.000000,32.141808,308348500
2009-03-01,49.029999,53.700001,46.250000,52.599998,34.093594,423319700
2009-04-01,52.299999,54.130001,50.119999,52.360001,33.938015,306396300
2009-05-01,52.529999,56.480000,51.669998,55.160000,35.752892,257261500
2009-06-01,55.750000,57.230000,54.540001,56.799999,37.141644,301738000
2009-07-01,56.820000,62.470001,55.709999,60.889999,39.816090,270356100
2009-08-01,61.160000,61.490002,59.500000,60.439999,39.521839,211869300
2009-09-01,60.349998,61.540001,59.279999,60.889999,40.138779,197460800
2009-10-01,60.930000,62.740002,58.779999,59.049999,38.925861,280297200
2009-11-01,59.150002,63.439999,58.799999,62.840000,41.424229,233417400
2009-12-01,62.950001,65.410004,62.950001,64.410004,42.795074,212286400
2010-01-01,64.709999,65.949997,62.220001,62.860001,41.765221,245125300
2010-02-01,63.259998,64.699997,61.889999,63.000000,41.858242,213341500
2010-03-01,63.270000,65.489998,63.020000,65.199997,43.651421,249947500
2010-04-01,65.370003,66.199997,64.209999,64.300003,43.048878,235860700
2010-05-01,65.160004,65.620003,58.189999,58.299999,39.031853,357775800
2010-06-01,58.209999,60.150002,57.549999,59.060001,39.901844,357343400
2010-07-01,59.070000,61.730000,56.860001,58.090000,39.246494,310708000
2010-08-01,58.500000,60.250000,56.990002,57.020000,38.523598,239384600
2010-09-01,57.669998,62.700001,57.439999,61.959999,42.255917,209239500
2010-10-01,62.090000,64.230003,61.299999,63.740002,43.469849,208721800
2010-11-01,63.880001,64.919998,61.250000,61.549999,41.976303,221392600
2010-12-01,62.180000,63.160000,61.560001,61.849998,42.543888,212152900
2011-01-01,62.630001,63.540001,59.689999,59.770000,41.113136,257253400
2011-02-01,59.700001,61.450001,59.360001,61.439999,42.261868,199932400
2011-03-01,61.250000,61.500000,57.500000,59.250000,41.124039,254534800
2011-04-01,59.630001,65.970001,59.060001,65.720001,45.614712,270819500
2011-05-01,65.919998,67.370003,64.800003,67.290001,46.704403,270892200
2011-06-01,67.019997,67.360001,64.690002,66.519997,46.570427,231770300
2011-07-01,66.480003,68.050003,64.129997,64.790001,45.359261,202614600
2011-08-01,65.279999,66.230003,59.080002,65.800003,46.066353,491488700
2011-09-01,65.660004,66.139999,61.000000,63.689999,44.986385,264862000
2011-10-01,63.650002,65.860001,60.830002,64.389999,45.480835,251590300
2011-11-01,63.680000,65.489998,61.049999,64.720001,45.713921,236914800
2011-12-01,64.680000,66.320000,62.849998,65.580002,46.751240,210285200
2012-01-01,65.589996,66.000000,64.339996,65.910004,46.986496,212136100
2012-02-01,65.970001,66.320000,64.019997,65.080002,46.394802,192370000
2012-03-01,65.110001,66.180000,64.120003,65.959999,47.437481,208163900
2012-04-01,66.040001,66.300003,62.759998,65.099998,46.818981,229665900
2012-05-01,64.910004,65.489998,62.000000,62.430000,44.898769,278010100
2012-06-01,62.040001,67.699997,61.709999,67.559998,49.061192,451142100
2012-07-01,67.419998,69.699997,67.000000,69.220001,50.266659,273347200
2012-08-01,69.480003,69.750000,66.849998,67.430000,48.966789,224101500
2012-09-01,67.489998,69.639999,66.970001,68.910004,50.496273,200224200
2012-10-01,68.919998,72.739998,67.800003,70.820000,51.895901,267146700
2012-11-01,71.099998,71.900002,68.510002,69.730003,51.097160,211662500
2012-12-01,69.800003,71.620003,69.180000,70.099998,51.822529,232603000
2013-01-01,71.019997,74.800003,70.300003,73.919998,54.646545,209813800
2013-02-01,74.139999,77.019997,73.559998,76.110001,56.265518,177978400
2013-03-01,75.790001,81.589996,75.730003,81.529999,60.754463,193396300
2013-04-01,81.389999,85.889999,80.309998,85.230003,63.511616,218722300
2013-05-01,84.500000,89.989998,83.879997,84.180000,62.729191,220724300
2013-06-01,84.279999,87.820000,82.120003,85.860001,64.462051,210552200
2013-07-01,85.720001,94.419998,85.500000,93.500000,70.198021,200315600
2013-08-01,94.160004,94.400002,85.849998,86.410004,64.874992,204260800
2013-09-01,86.889999,90.720001,86.000000,86.690002,65.575546,158876500
2013-10-01,86.589996,93.449997,85.500000,92.610001,70.053673,173024000
2013-11-01,92.379997,95.989998,92.279999,94.660004,71.604362,131026200
2013-12-01,94.410004,94.790001,89.769997,91.589996,69.765778,151086000
2014-01-01,91.139999,95.379997,88.150002,88.470001,67.389206,192804300
2014-02-01,88.750000,92.989998,86.089996,92.120003,70.169464,162234700
2014-03-01,91.129997,98.599998,90.830002,98.230003,75.362000,181324400
2014-04-01,98.309998,101.980003,96.050003,101.290001,77.709633,180242400
2014-05-01,100.769997,101.540001,98.879997,101.459999,77.840057,124656300
2014-06-01,101.540001,106.000000,101.010002,104.620003,80.823769,123927200
2014-07-01,105.150002,106.739998,100.050003,100.089996,77.324127,148795100
2014-08-01,99.760002,104.419998,98.800003,103.730003,80.136223,120163600
2014-09-01,103.300003,108.769997,103.019997,106.589996,82.902687,130571800
2014-10-01,105.980003,108.180000,95.099998,107.779999,83.828255,232630100
2014-11-01,107.830002,109.489998,106.599998,108.250000,84.193771,125669200
2014-12-01,107.889999,108.989998,102.500000,104.570000,81.861267,175446100
2015-01-01,105.050003,106.500000,100.089996,100.139999,78.393295,195025900
2015-02-01,100.489998,103.330002,97.150002,102.510002,80.248672,191367400
2015-03-01,102.510002,103.410004,98.220001,100.599998,79.304688,177464600
2015-04-01,100.459999,102.139999,98.040001,99.199997,78.201042,171578200
2015-05-01,99.620003,104.480003,98.660004,100.139999,78.942062,143779800
2015-06-01,100.279999,100.839996,97.010002,97.459999,77.389626,170023700
2015-07-01,98.300003,101.360001,96.639999,100.209999,79.573326,151835800
2015-08-01,100.000000,101.000000,81.790001,93.980003,74.626282,194654400
